after_super_class,bad_match_reason,candidates_after_super_class_guards,candidates_total,is_bad_match,match_percent,price,reason_code,ref_super_class,reference_name,rejected_by_anchor,rejected_by_forbidden,selected_name,selected_super_class,status
,,25,,False,100,625.0,,seafood.cod,ТРЕСКА филе на коже ГОСТ (400+) ДВ с/м вес 10 кг. Купеческий,0,0,Треска филе  порц. 80-120 гр.,seafood.cod,ok
,,10,,False,100,1600.0,,seafood.salmon,ЛОСОСЬ потрошеный с головой 6/7 Чили с/м вес 26 кг.,0,0,"СЕМГА свежемороженая филе Trim D 1,5-2,0 кг вакуумная упаковка, СAMANCHACA, ЧИЛИ",seafood.salmon,ok
,,77,,False,58,17.5,,bakery.buns,БУЛОЧКА для бургера черная 125 мм с/м 89 гр*24 шт. Bagerstat,0,0,"БУЛОЧКА для гамбургера с кунжутом D100 мм 52 г, BAGERSTAT, РОССИЯ",bakery.buns,ok
0,,,8218,,,,NO_CANDIDATES_AFTER_GUARDS,oils.sesame,БУЛОЧКА для гамбургера с кунжутом 125 мм с/м 82 гр*24 шт. Bagerstat,0,0,,,not_found
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,КРУАССАН (18% сливочного масла) 80 гр*60шт/кор расстоянный Bridor,,,,,not_found
,,153,,False,53,0.65,,staples.сахар,УЛИТКА с изюмом 30 гр*260 шт/кор п/ф расстоянный ТМ Bridor Франция,0,0,САХАР порционный в стиках 5гр 1000шт/кр CEA,staples.сахар,ok
,,153,,False,32,0.65,,staples.сахар,БЕФСТРОГАНОВ из говядины в сливках с картофельным пюре с/м 260 гр. Qummy,0,0,САХАР порционный в стиках 5гр 1000шт/кр CEA,staples.сахар,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ВАРЕНИКИ с творогом 250 гр. Qummy,,,,,not_found
0,,,8218,,,,NO_CANDIDATES_AFTER_GUARDS,meat.chicken,КУРИЦА крылышки барбекю с/м 200 гр. Qummy,12,0,,,not_found
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ПЕЛЬМЕНИ быстрого приготовления с куриным бульоном с/м 100 гр. 1кр/12шт,,,,,not_found
