item_id,name_raw,pack_base_qty,unit_type,potential_packs_needed_for_1kg,issue
4a14de94-333b-4b9e-a094-1f2ea2d010db,БУМАГА для выпечки 38 см*50 м силиконизированная коричневая (арт Т0020) 35 гр/м 1 шт. ТЕХТОР,35.0,WEIGHT,28,SMALL_PACK_HIGH_COUNT_28x
63373333-98e5-4fe9-bdf2-845bcfe3db8a,"Приправа Чили острый KOTANYI, мельница 35г",35.0,WEIGHT,28,SMALL_PACK_HIGH_COUNT_28x
8aca689d-1ae2-4559-9f7f-a8323ae1fc26,Пирожное Тарт лимонный (1690) 35г (24 шт),35.0,WEIGHT,28,SMALL_PACK_HIGH_COUNT_28x
cc315618-e074-48a4-942c-0c6f51225850,"Приправа Чили острый KOTANYI, мельница 35г",35.0,WEIGHT,28,SMALL_PACK_HIGH_COUNT_28x
c2696774-28d0-4d30-aa5e-204a668f989c,Пирожное Тарт лимонный (1690) 35г (24 шт),35.0,WEIGHT,28,SMALL_PACK_HIGH_COUNT_28x
e748a8b4-d3bc-4524-80ca-a7e5b0bbe3a2,"Перец Черный KOTANYI,  мельница 36г",36.0,WEIGHT,27,SMALL_PACK_HIGH_COUNT_27x
adf31c12-37ea-439d-abaa-16c11839129b,"Перец Черный KOTANYI,  мельница 36г",36.0,WEIGHT,27,SMALL_PACK_HIGH_COUNT_27x
0c86d688-8492-41b9-be91-37b723c02fd6,"БУМАГА оберточная парафинированная ""Газета"" 400х400мм 40 г/м2 500 шт/уп Aviora",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
47fa5a26-9507-4111-b880-2f3129897b60,ПАКЕТ белый с V-дном 95*40*205мм ОДП 40 г 4000шт/кр,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
44ef8c7e-fa24-4894-9f7c-f82c0f1aee5d,Булочка Пражская 40гр/80шт,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
3294b9d4-d714-418d-94ed-76d06ea54517,Булочка Французская 40гр/80шт,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
cbe323c2-54da-447b-b68b-56dd8b2e0fd1,Грибы сухие Ассорти 40гр,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
573ab8ce-4803-4654-bbf6-4f8feb84d16b,Грибы сухие Белые 40гр,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
48f48ce4-2fe3-4269-9e44-baa52b73bd23,"ПИРОЖНОЕ дайфукумоти Фантазии о малиновом чизкейке 6 шт х40 гр, РОССИЯ",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
e41a4839-4def-4f97-adec-2373abb8b213,"ПИРОЖНОЕ дайфукумоти манго-маракуйя 6 шт х40 г, РОССИЯ",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
5ad46bec-8756-4e57-b5ce-598e02fe09fd,"ПИРОЖНОЕ дайфукумоти матча 6 шт х40 г, РОССИЯ",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
f67be524-afea-4397-a236-f0bc2b7e2ecd,"ПИРОЖНОЕ дайфукумоти шоколад 6 шт х 40 г, РОССИЯ",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
05727299-a947-4e9f-be8b-5ad6bc63ff38,"ПИРОЖНОЕ дайфукумоти черная смородина 6 шт х40 г, РОССИЯ",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
55ddfa0b-681c-4e86-ba7f-4481498b14e0,"ПИРОЖНОЕ дайфукумоти Пина колада 6 шт х40г, РОССИЯ",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
dc3404df-9780-449f-93b4-ee72283bf3bd,"МИНИ-ПЛЕТЕНКА вишня замороженная 40 г, BRIDOR, ФРАНЦИЯ",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
a8e27016-6f07-4ae4-b557-2645f972cc1d,Булочка мультизлаковая 40 гр /кор Европейский хлеб,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
6c136dd5-4af9-41b8-b87b-95b8c7d6da33,Булочка Деревенская 40гр /кор Европейский хлеб,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
a69420ef-3c51-477f-b49d-e589dc460a5f,Булочка французская 40гр /кор Европейский Хлеб,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
561cea96-a05f-4322-b623-31b0c8ea7c7a,Булочка Пражская 40гр /кор Европейский хлеб,40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
75c324e6-b247-405f-9567-65dfe5227278,"Булочка Злаковая (8 злаков) Мириталь (0,040 кг) ЗАМ (5015)",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
22fe2475-70cb-4a7f-b18f-f8055a86800c,"Булочка Пшеничная Мириталь (0,040 кг)",40.0,WEIGHT,25,SMALL_PACK_HIGH_COUNT_25x
