name_raw,name_norm,super_class,brand_id,price
"ПОЛОТЕНЦА бумажные двухслойные V-сложения белые 5083740 (23*20,5см) 200листов 15шт/кр FOCUS",полотенца бумажные двухслойные сложения белые 23 20 5см 200листов 15шт кр focus,other,,82.5
ПОЛОТЕНЦА бумажные двухслойные V-сложения белые H3 С197 (210*220мм) 200листов 20уп/кр PROtissue,полотенца бумажные двухслойные сложения белые h3 с197 210 220мм 200листов 20уп кр protissue,other,,75.4
"ПОЛОТЕНЦА бумажные двухслойные Z-сложения H2 200 листов (24*22,5 см) 21шт/кор PROtissue С442",полотенца бумажные двухслойные сложения h2 200 листов 24 22 21шт protissue с442,other,,79.37
"ПОЛОТЕНЦА бумажные двухслойные Z-сложения H2 5083803 EXTRA 200 листов (24*21,5 см) 20уп/кр FOCUS",полотенца бумажные двухслойные сложения h2 extra 200 листов 24 21 20уп кр focus,other,,130.82
ПОЛОТЕНЦА бумажные двухслойные в рулоне белые 11м 2рул/уп Grand Pero,полотенца бумажные двухслойные рулоне белые 11м 2рул уп grand pero,other,,73.86
ПОЛОТЕНЦА бумажные двухслойные в рулоне белые без перфорации (втулка D-38мм) 150метров 6шт/уп PROtissue С222,полотенца бумажные двухслойные рулоне белые без перфорации втулка 38мм 150метров 6шт уп protissue с222,other,,227.99
ПОЛОТЕНЦА бумажные двухслойные в рулоне с перфорацией белые 15м 2рул/уп (втулка-45мм) PROtissue С162,полотенца бумажные двухслойные рулоне перфорацией белые 15м 2рул уп втулка 45мм protissue с162,other,,82.32
ПОЛОТЕНЦА однослойные в рулоне белые с ЦВ C195 275метров 1уп/6шт PROtissue,полотенца однослойные рулоне белые цв c195 275метров 1уп 6шт protissue,other,,218.7
САЛФЕТКИ бумажные двухслойные белые 24*24см 250шт/уп,салфетки бумажные двухслойные белые 24 24см 250шт уп,disposables.napkins,,116.89
САЛФЕТКИ бумажные двухслойные белые 33*33см  200шт/уп,салфетки бумажные двухслойные белые 33 33см 200шт уп,disposables.napkins,,187.12
САЛФЕТКИ бумажные двухслойные чёрные 24*24см 250шт/уп,салфетки бумажные двухслойные черные 24 24см 250шт уп,disposables.napkins,,262.48
