name_raw,name_norm,super_class,brand_id,pack,price
"ОСНОВА для коктейлей с добавлением электролитов Cactus - Lavender - Meadow flowers cocktail premix (Кактус-Лаванда-Луговые цветы) 0,7 л.",основа для коктейлей добавлением электролитов cactus lavender meadow flowers cocktail premix кактус лаванда луговые цветы,other,,0.7,478.13
ЭВЕРВЕСС Кола 0.25 л. стекло,эвервесс кола стекло,other,,0.25,96.6
ЭВЕРВЕСС Кола 0.5 л. ПЭТ,эвервесс кола пэт,other,,0.5,76.3
ЭВЕРВЕСС Кола 1 л. ПЭТ,эвервесс кола пэт,other,,1.0,87.6
КОНЦЕНТРАТ для безалкогольных напитков Юзу 1 кг. Barinoff,концентрат для безалкогольных напитков юзу barinoff,other,,1.0,410.8
ОСНОВА для безалкогольных напитков Мохито 1 кг. Barinoff,основа для безалкогольных напитков мохито barinoff,other,,1.0,330.46
СИРОП Амаретто 1 л. Barinoff,сироп амаретто barinoff,other,,1.0,322.53
СИРОП Арбуз 1 л. Barinoff,сироп арбуз barinoff,other,,1.0,322.53
СИРОП ароматизированный со вкусом Блю кюрасао 1 л. AGROBAR,сироп ароматизированный со вкусом блю кюрасао agrobar,other,,1.0,408.0
СИРОП ароматизированный со вкусом Ваниль 1 л. AGROBAR,сироп ароматизированный со вкусом ваниль agrobar,other,,1.0,408.0
СИРОП ароматизированный со вкусом Вишня 1 л. AGROBAR,сироп ароматизированный со вкусом вишня agrobar,other,,1.0,408.0
СИРОП ароматизированный со вкусом Глинтвейн 1 л. AGROBAR,сироп ароматизированный со вкусом глинтвейн agrobar,other,,1.0,408.0
СИРОП ароматизированный со вкусом Гренадин 1 л. AGROBAR,сироп ароматизированный со вкусом гренадин agrobar,other,,1.0,408.0
СИРОП ароматизированный со вкусом Карамель 1 л. AGROBAR,сироп ароматизированный со вкусом карамель agrobar,other,,1.0,408.0
СИРОП ароматизированный со вкусом Кокос 1 л. AGROBAR,сироп ароматизированный со вкусом кокос agrobar,other,,1.0,408.0
СИРОП ароматизированный со вкусом Маракуйя 1 л. AGROBAR,сироп ароматизированный со вкусом маракуйя agrobar,other,,1.0,408.0
СИРОП ароматизированный со вкусом Фисташка 1 л. AGROBAR,сироп ароматизированный со вкусом фисташка agrobar,other,,1.0,408.0
СИРОП Бабл Гам 1 л. Barinoff,сироп бабл гам barinoff,other,,1.0,322.53
СИРОП Ваниль 1 л. Barinoff,сироп ваниль barinoff,other,,1.0,322.53
СИРОП Вишня 1 л. Barinoff,сироп вишня barinoff,other,,1.0,322.53
СИРОП Грейпфрут 1 л. Barinoff,сироп грейпфрут barinoff,other,,1.0,322.53
СИРОП Имбирь 1 л. Barinoff,сироп имбирь barinoff,other,,1.0,322.53
СИРОП Карамель 1 л. Barinoff,сироп карамель barinoff,other,,1.0,322.53
СИРОП Корица 1 л. Barinoff,сироп корица barinoff,other,,1.0,322.53
СИРОП Лаванда 1 л. Barinoff,сироп лаванда barinoff,other,,1.0,322.53
СИРОП Лесной орех 1 л. Barinoff,сироп лесной орех barinoff,other,,1.0,322.53
СИРОП Маракуйя 1 л. Barinoff,сироп маракуйя barinoff,other,,1.0,322.53
СИРОП медовый 1 л. Barinoff,сироп медовый barinoff,other,,1.0,322.53
СИРОП Мята 1 л. Barinoff,сироп мята barinoff,other,,1.0,322.53
СИРОП Персик 1 л. Barinoff,сироп персик barinoff,other,,1.0,322.53
СИРОП Соленая карамель 1 л. Barinoff,сироп соленая карамель barinoff,other,,1.0,322.53
СИРОП Тархун 1 л. Barinoff,сироп тархун barinoff,other,,1.0,322.53
СИРОП Шоколад 1 л. Barinoff,сироп шоколад barinoff,other,,1.0,322.53
ТОПИНГ Белый шоколад 1 кг. Barinoff,топинг белый шоколад barinoff,other,,1.0,322.53
ЛИЧИ в сиропе ж/б 565 гр. AROY-D,личи сиропе aroy,other,aroy_d,0.565,376.42
ПЕРСИКИ очищенные половинки в сиропе ж/б 850 мл. LUTIK,персики очищенные половинки сиропе lutik,other,,0.85,245.48
ПЕРСИКИ половинки в сиропе ж/б 850 мл. MaySun,персики половинки сиропе maysun,other,,0.85,239.32
ИМБИРЬ маринованный белый 1 кг. LAIWU TAIFENG,имбирь маринованный белый laiwu taifeng,other,,1.0,172.9
ИМБИРЬ маринованный белый 1 кг. LAIWU TAIFENG,имбирь маринованный белый laiwu taifeng,other,,1.0,175.5
ИМБИРЬ маринованный белый 1 кг. RISMA,имбирь маринованный белый risma,other,,1.0,182.0
ИМБИРЬ маринованный белый 1 кг. TABUKO грейд А,имбирь маринованный белый tabuko грейд,other,,1.0,215.31
ИМБИРЬ маринованный белый 1 кг. TABUKO грейд В,имбирь маринованный белый tabuko грейд,other,,1.0,178.1
