supplier_item_id,supplier_id,name_raw,name_norm,super_class_db,super_class_runtime,sc_confidence,brand_id_db,brand_from_text,pack_db,pack_runtime,price,data_issues
22316172-065d-493c-8164-519e5c733047,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Кабачки кубик б/з 10кг/упак МК Холдинг,кабачки кубик мк холдинг,other,,0.18,,,10.0,10.0,1512.5,SUPER_CLASS_OTHER|NO_BRAND
391dca82-d7e6-478b-9488-eb1fe39724b7,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Капуста брокколи б/з 10кг/упак MIMA Foods Египет,капуста брокколи mima foods египет,vegetables.капуста,vegetables.капуста,0.75,,,10.0,10.0,1625.0,NO_BRAND
28029c82-1b0d-4c34-8008-bf38dd894df0,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Морковь б/з стружка 4*4 10кг/упак ФХ Новицких Беларусь,морковь стружка фх новицких беларусь,vegetables.морковь,,0.28,,,7.0,10.0,675.0,NO_BRAND
f2fbabda-07a0-4f74-a455-fcc9afd64a6e,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Кабачки кубик 10*10 зам 10кг/упак Завод СБК,кабачки кубик 10 10 завод сбк,other,,0.18,,,10.0,10.0,980.0,SUPER_CLASS_OTHER|NO_BRAND
d4397b37-0421-4ade-b122-f1c13923a917,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Фасоль зеленая (стручковая ЦЕЛАЯ) б/з 10кг/упак Greeny Company Египет,фасоль зеленая стручковая целая greeny company египет,staples.фасоль,staples.фасоль,0.7,,,10.0,10.0,2100.0,NO_BRAND
c3336f57-c1b8-4a5c-b3ea-2838d9aee42b,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Ревень б/з 13,610 кг/упак Ritune Китай",ревень ritune китай,other,,0.18,,,13.61,13.61,7706.66,SUPER_CLASS_OTHER|NO_BRAND
327ecefe-4a71-4ae9-9894-92a85cdcdbce,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Фасоль стручковая зеленая целая с/м упак.8 кг Россия,фасоль стручковая зеленая целая россия,staples.фасоль,,0.15,,,8.0,8.0,1121.91,NO_BRAND
14fd1dd6-b7af-4a1b-9ebd-532c801d9c93,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Морковь резаная кубик б/з 10кг/упак Агрофрост,морковь резаная кубик агрофрост,vegetables.морковь,vegetables.морковь,0.35,,,10.0,10.0,687.5,NO_BRAND
844cea4d-b1d8-4204-96ee-a22d66f531b8,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Капуста брокколи с/м упак. 7 кг Россия,капуста брокколи россия,vegetables.капуста,,0.15,,,7.0,7.0,1170.0,NO_BRAND
d9a7cd12-07d6-4f6d-a9f8-5ef093b14dc1,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Кукуруза зерно б/з 10кг/упак Unity Agro Индия,кукуруза зерно unity agro индия,canned.кукуруза.консервированная,seafood.shrimp,0.47,,,10.0,10.0,2275.0,NO_BRAND
